Date,Temperature,Rainfall,Humidity,Location
2019-03-29,29.5,0.34,68.85,Mangalore
2019-03-30,29.44,1.02,65.07,Mangalore
2019-03-31,29.54,0.5,63.75,Mangalore
2019-04-01,29.53,0.21,64.88,Mangalore
2019-04-02,29.71,0.99,65.55,Mangalore
2019-04-03,30.14,0.71,60.58,Mangalore
2019-04-04,29.75,1.07,62.85,Mangalore
2019-04-05,29.89,1.19,64.66,Mangalore
2019-04-06,30.2,0.34,60.85,Mangalore
2019-04-07,29.87,0.38,66.09,Mangalore
2019-04-08,29.91,0.62,65.01,Mangalore
2019-04-09,30.1,0.56,63.35,Mangalore
2019-04-10,30.58,0.53,61.17,Mangalore
2019-04-11,30.06,4.52,65.67,Mangalore
2019-04-12,30.08,3.09,66.86,Mangalore
2019-04-13,30.4,0.63,65.13,Mangalore
2019-04-14,30.69,1.04,63.93,Mangalore
2019-04-15,30.21,1.12,67.13,Mangalore
2019-04-16,30.11,0.48,66.19,Mangalore
2019-04-17,30.06,1.04,63.58,Mangalore
2019-04-18,30.58,1.6,59.33,Mangalore
2019-04-19,29.96,0.64,61.37,Mangalore
2019-04-20,30.2,0.01,59.67,Mangalore
2019-04-21,29.63,0.25,62.76,Mangalore
2019-04-22,30.68,0.1,60.24,Mangalore
2019-04-23,30.49,0.94,62.7,Mangalore
2019-04-24,31.11,0.81,60.19,Mangalore
2019-04-25,30.37,0.77,66.04,Mangalore
2019-04-26,30.76,0.3,64.53,Mangalore
2019-04-27,31.03,0.09,62.76,Mangalore
2019-04-28,31.02,0.14,62.81,Mangalore
2019-04-29,30.37,0.56,66.19,Mangalore
2019-04-30,28.62,1.22,76.8,Mangalore
2019-05-01,29.42,0.66,68.44,Mangalore
2019-05-02,29.28,0.08,66.72,Mangalore
2019-05-03,29.34,0.03,62.42,Mangalore
2019-05-04,28.97,0.0,62.34,Mangalore
2019-05-05,29.72,0.02,62.71,Mangalore
2019-05-06,30.29,0.31,65.06,Mangalore
2019-05-07,28.64,1.21,74.54,Mangalore
2019-05-08,28.87,0.35,68.98,Mangalore
2019-05-09,29.06,0.0,61.63,Mangalore
2019-05-10,29.87,0.0,64.15,Mangalore
2019-05-11,29.98,0.03,65.26,Mangalore
2019-05-12,29.82,0.63,65.74,Mangalore
2019-05-13,29.64,0.78,67.37,Mangalore
2019-05-14,30.03,0.13,65.16,Mangalore
2019-05-15,29.87,0.23,65.93,Mangalore
2019-05-16,29.74,0.14,64.82,Mangalore
2019-05-17,29.67,0.17,67.88,Mangalore
2019-05-18,30.07,0.24,68.5,Mangalore
2019-05-19,29.82,0.96,70.89,Mangalore
2019-05-20,29.58,1.16,70.03,Mangalore
2019-05-21,30.06,1.11,64.26,Mangalore
2019-05-22,30.18,0.89,66.43,Mangalore
2019-05-23,28.88,1.5,75.56,Mangalore
2019-05-24,29.15,1.3,71.61,Mangalore
2019-05-25,28.71,5.49,76.27,Mangalore
2019-05-26,29.38,1.02,73.16,Mangalore
2019-05-27,30.05,0.83,66.63,Mangalore
2019-05-28,29.76,0.99,72.14,Mangalore
2019-05-29,28.17,4.99,73.25,Mangalore
2019-05-30,29.27,2.33,73.84,Mangalore
2019-05-31,29.04,2.8,75.25,Mangalore
2019-06-01,29.58,3.33,72.78,Mangalore
2019-06-02,29.45,4.73,74.27,Mangalore
2019-06-03,27.65,11.57,76.17,Mangalore
2019-06-04,27.49,0.1,68.24,Mangalore
2019-06-05,28.41,7.98,79.23,Mangalore
2019-06-06,28.95,7.47,76.84,Mangalore
2019-06-07,28.65,2.07,75.91,Mangalore
2019-06-08,28.93,4.27,78.13,Mangalore
2019-06-09,29.02,2.08,74.2,Mangalore
2019-06-10,28.08,14.09,80.02,Mangalore
2019-06-11,28.21,22.45,79.19,Mangalore
2019-06-12,28.22,25.53,80.63,Mangalore
2019-06-13,27.69,27.44,82.45,Mangalore
2019-06-14,27.78,20.02,83.83,Mangalore
2019-06-15,28.01,22.46,85.97,Mangalore
2019-06-16,27.93,5.56,84.57,Mangalore
2019-06-17,27.9,5.56,83.12,Mangalore
2019-06-18,27.69,22.2,84.07,Mangalore
2019-06-19,27.88,40.18,86.19,Mangalore
2019-06-20,26.95,43.25,86.61,Mangalore
2019-06-21,26.17,10.7,87.53,Mangalore
2019-06-22,25.94,13.95,84.97,Mangalore
2019-06-23,26.81,10.85,80.53,Mangalore
2019-06-24,27.15,2.91,78.79,Mangalore
2019-06-25,27.39,17.48,81.28,Mangalore
2019-06-26,27.2,23.12,86.79,Mangalore
2019-06-27,27.29,13.27,85.35,Mangalore
2019-06-28,27.56,11.82,82.68,Mangalore
2019-06-29,27.22,17.82,83.76,Mangalore
2019-06-30,27.28,16.52,85.32,Mangalore
2019-07-01,27.31,20.77,84.86,Mangalore
2019-07-02,27.37,17.39,85.07,Mangalore
2019-07-03,27.34,16.1,86.98,Mangalore
2019-07-04,27.34,19.17,87.88,Mangalore
2019-07-05,27.34,26.66,87.26,Mangalore
2019-07-06,27.37,21.66,87.81,Mangalore
2019-07-07,27.19,13.24,87.17,Mangalore
2019-07-08,27.25,21.49,87.01,Mangalore
2019-07-09,26.72,48.19,91.43,Mangalore
2019-07-10,26.3,40.48,86.75,Mangalore
2019-07-11,25.99,21.25,86.02,Mangalore
2019-07-12,26.25,16.5,82.32,Mangalore
2019-07-13,26.72,14.35,86.66,Mangalore
2019-07-14,26.44,37.71,89.52,Mangalore
2019-07-15,25.65,20.17,85.46,Mangalore
2019-07-16,25.29,13.25,84.47,Mangalore
2019-07-17,25.65,4.99,84.09,Mangalore
2019-07-18,25.08,27.04,86.87,Mangalore
2019-07-19,25.68,51.31,89.08,Mangalore
2019-07-20,26.1,49.49,88.46,Mangalore
2019-07-21,26.32,55.87,90.43,Mangalore
2019-07-22,25.98,93.35,89.72,Mangalore
2019-07-23,25.51,41.98,88.68,Mangalore
2019-07-24,25.65,33.79,88.8,Mangalore
2019-07-25,26.01,18.3,89.05,Mangalore
2019-07-26,25.51,21.18,90.87,Mangalore
2019-07-27,25.75,14.56,89.43,Mangalore
2019-07-28,26.04,9.13,86.65,Mangalore
2019-07-29,26.08,14.37,88.85,Mangalore
2019-07-30,25.77,13.01,90.03,Mangalore
2019-07-31,26.12,10.66,89.64,Mangalore
2019-08-01,26.7,6.09,86.4,Mangalore
2019-08-02,26.33,15.59,88.47,Mangalore
2019-08-03,26.31,25.17,89.48,Mangalore
2019-08-04,26.3,31.38,86.46,Mangalore
2019-08-05,25.9,58.12,90.69,Mangalore
2019-08-06,26.11,89.29,87.9,Mangalore
2019-08-07,25.99,99.16,91.04,Mangalore
2019-08-08,26.1,70.72,92.73,Mangalore
2019-08-09,26.3,89.08,91.43,Mangalore
2019-08-10,26.09,57.88,89.58,Mangalore
2019-08-11,25.98,40.87,90.54,Mangalore
2019-08-12,25.67,84.37,90.23,Mangalore
2019-08-13,25.64,56.84,90.66,Mangalore
2019-08-14,25.5,47.42,91.72,Mangalore
2019-08-15,25.51,29.97,90.77,Mangalore
2019-08-16,25.56,31.88,91.56,Mangalore
2019-08-17,25.45,23.32,91.28,Mangalore
2019-08-18,25.36,18.63,89.82,Mangalore
2019-08-19,25.26,16.2,90.11,Mangalore
2019-08-20,25.16,10.44,89.37,Mangalore
2019-08-21,24.94,37.75,88.63,Mangalore
2019-08-22,24.84,15.33,89.23,Mangalore
2019-08-23,25.04,37.07,89.75,Mangalore
2019-08-24,25.37,35.5,89.43,Mangalore
2019-08-25,25.88,16.27,89.4,Mangalore
2019-08-26,26.04,33.1,89.47,Mangalore
2019-08-27,25.91,31.79,89.06,Mangalore
2019-08-28,26.25,18.39,89.83,Mangalore
2019-08-29,26.27,33.58,90.31,Mangalore
2019-08-30,26.13,33.42,89.71,Mangalore
2019-08-31,26.03,20.58,90.3,Mangalore
2019-09-01,25.77,47.62,91.8,Mangalore
2019-09-02,25.52,32.36,90.2,Mangalore
2019-09-03,25.88,29.31,89.74,Mangalore
2019-09-04,25.66,76.6,90.94,Mangalore
2019-09-05,25.88,26.28,90.42,Mangalore
2019-09-06,26.05,31.26,92.18,Mangalore
2019-09-07,26.04,32.58,91.77,Mangalore
2019-09-08,25.9,31.61,90.1,Mangalore
2019-09-09,26.03,25.98,90.55,Mangalore
2019-09-10,26.24,15.63,89.81,Mangalore
2019-09-11,26.14,14.78,89.47,Mangalore
2019-09-12,26.02,13.62,90.17,Mangalore
2019-09-13,25.99,23.34,90.31,Mangalore
2019-09-14,26.22,12.4,88.22,Mangalore
2019-09-15,25.9,10.13,89.18,Mangalore
2019-09-16,25.39,23.0,91.76,Mangalore
2019-09-17,26.01,10.68,89.25,Mangalore
2019-09-18,25.39,13.79,89.62,Mangalore
2019-09-19,25.46,11.93,88.97,Mangalore
2019-09-20,25.75,2.06,85.2,Mangalore
2019-09-21,26.4,2.4,86.12,Mangalore
2019-09-22,26.36,5.88,85.66,Mangalore
2019-09-23,26.76,8.37,84.04,Mangalore
2019-09-24,26.01,7.64,87.66,Mangalore
2019-09-25,25.39,28.44,88.8,Mangalore
2019-09-26,25.12,39.04,92.01,Mangalore
2019-09-27,25.72,3.3,86.51,Mangalore
2019-09-28,26.36,0.54,83.11,Mangalore
2019-09-29,26.75,2.51,80.88,Mangalore
2019-09-30,26.62,3.42,83.32,Mangalore
2019-10-01,25.91,7.22,87.61,Mangalore
2019-10-02,25.38,3.04,85.65,Mangalore
2019-10-03,26.22,9.9,87.61,Mangalore
2019-10-04,26.07,5.75,89.46,Mangalore
2019-10-05,26.43,8.69,85.43,Mangalore
2019-10-06,26.02,11.57,85.58,Mangalore
2019-10-07,26.07,2.35,86.89,Mangalore
2019-10-08,25.92,5.02,90.03,Mangalore
2019-10-09,26.08,11.61,88.69,Mangalore
2019-10-10,26.67,2.27,83.64,Mangalore
2019-10-11,26.34,2.44,84.84,Mangalore
2019-10-12,24.79,27.36,88.92,Mangalore
2019-10-13,26.7,8.64,85.92,Mangalore
2019-10-14,27.35,18.48,87.47,Mangalore
2019-10-15,26.93,15.91,88.92,Mangalore
2019-10-16,27.08,3.87,87.46,Mangalore
2019-10-17,26.55,16.45,86.46,Mangalore
2019-10-18,25.56,64.79,93.41,Mangalore
2019-10-19,26.08,16.53,90.06,Mangalore
2019-10-20,25.31,18.93,91.23,Mangalore
2019-10-21,24.98,26.87,90.11,Mangalore
2019-10-22,25.3,36.02,89.68,Mangalore
2019-10-23,25.17,61.4,88.71,Mangalore
2019-10-24,25.7,35.54,89.22,Mangalore
2019-10-25,26.09,52.04,87.94,Mangalore
2019-10-26,25.92,82.4,88.79,Mangalore
2019-10-27,25.26,18.78,88.24,Mangalore
2019-10-28,24.83,6.26,85.68,Mangalore
2019-10-29,26.4,5.85,83.6,Mangalore
2019-10-30,25.34,7.08,87.28,Mangalore
2019-10-31,25.87,13.21,88.6,Mangalore
2019-11-01,26.16,1.53,80.77,Mangalore
2019-11-02,25.88,0.19,83.0,Mangalore
2019-11-03,26.4,4.04,85.48,Mangalore
2019-11-04,26.79,2.41,84.61,Mangalore
2019-11-05,27.06,3.43,84.13,Mangalore
2019-11-06,26.55,6.71,88.98,Mangalore
2019-11-07,26.15,1.41,88.39,Mangalore
2019-11-08,26.33,0.18,84.16,Mangalore
2019-11-09,26.58,0.43,84.1,Mangalore
2019-11-10,26.39,2.64,85.44,Mangalore
2019-11-11,26.42,0.59,83.66,Mangalore
2019-11-12,26.65,0.35,79.91,Mangalore
2019-11-13,26.81,0.09,77.1,Mangalore
2019-11-14,26.66,0.08,77.89,Mangalore
2019-11-15,27.17,1.29,79.61,Mangalore
2019-11-16,26.87,2.52,82.63,Mangalore
2019-11-17,26.77,1.83,78.15,Mangalore
2019-11-18,26.42,0.04,79.4,Mangalore
2019-11-19,27.78,0.16,78.56,Mangalore
2019-11-20,27.1,0.56,82.1,Mangalore
2019-11-21,27.19,0.77,82.99,Mangalore
2019-11-22,26.91,0.26,77.39,Mangalore
2019-11-23,25.75,0.01,75.02,Mangalore
2019-11-24,26.39,0.01,73.55,Mangalore
2019-11-25,26.82,0.0,75.17,Mangalore
2019-11-26,26.47,0.0,73.51,Mangalore
2019-11-27,26.72,0.02,76.69,Mangalore
2019-11-28,27.44,0.2,78.01,Mangalore
2019-11-29,27.54,0.44,76.32,Mangalore
2019-11-30,27.16,0.79,79.49,Mangalore
2019-12-01,26.59,8.21,85.61,Mangalore
2019-12-02,24.98,10.8,87.94,Mangalore
2019-12-03,25.19,1.09,84.14,Mangalore
2019-12-04,26.43,0.03,76.22,Mangalore
2019-12-05,26.3,0.0,74.3,Mangalore
2019-12-06,25.93,0.0,72.8,Mangalore
2019-12-07,26.01,0.01,73.88,Mangalore
2019-12-08,26.6,0.01,75.12,Mangalore
2019-12-09,26.67,0.0,74.0,Mangalore
2019-12-10,26.08,0.0,73.35,Mangalore
2019-12-11,26.16,0.0,74.86,Mangalore
2019-12-12,26.43,0.01,76.98,Mangalore
2019-12-13,26.62,0.0,75.56,Mangalore
2019-12-14,26.97,1.42,75.69,Mangalore
2019-12-15,26.57,1.29,78.56,Mangalore
2019-12-16,26.76,0.02,73.27,Mangalore
2019-12-17,26.73,1.94,74.12,Mangalore
2019-12-18,26.12,1.38,70.94,Mangalore
2019-12-19,26.56,0.03,72.92,Mangalore
2019-12-20,26.31,0.0,69.74,Mangalore
2019-12-21,26.62,0.85,72.85,Mangalore
2019-12-22,26.95,0.01,73.95,Mangalore
2019-12-23,26.87,0.0,74.44,Mangalore
2019-12-24,26.34,0.09,76.24,Mangalore
2019-12-25,26.99,0.04,76.41,Mangalore
2019-12-26,27.12,0.09,79.26,Mangalore
2019-12-27,27.38,0.19,77.52,Mangalore
2019-12-28,27.07,1.77,77.21,Mangalore
2019-12-29,26.91,1.55,77.02,Mangalore
2019-12-30,26.71,0.44,75.87,Mangalore
2019-12-31,26.64,0.52,76.36,Mangalore
2020-01-01,26.19,0.05,76.01,Mangalore
2020-01-02,26.8,0.01,73.18,Mangalore
2020-01-03,26.8,0.0,75.41,Mangalore
2020-01-04,25.75,0.0,75.66,Mangalore
2020-01-05,25.42,0.0,73.99,Mangalore
2020-01-06,26.85,0.0,73.17,Mangalore
2020-01-07,27.36,0.0,70.15,Mangalore
2020-01-08,26.61,0.01,75.22,Mangalore
2020-01-09,26.73,0.0,76.11,Mangalore
2020-01-10,26.87,0.0,73.31,Mangalore
2020-01-11,27.05,0.0,67.6,Mangalore
2020-01-12,26.23,0.0,63.27,Mangalore
2020-01-13,25.97,0.0,66.6,Mangalore
2020-01-14,25.68,0.0,73.77,Mangalore
2020-01-15,25.92,0.0,74.15,Mangalore
2020-01-16,25.62,0.08,71.08,Mangalore
2020-01-17,25.46,0.02,70.62,Mangalore
2020-01-18,26.21,0.0,69.98,Mangalore
2020-01-19,27.25,0.03,71.8,Mangalore
2020-01-20,27.52,0.1,71.21,Mangalore
2020-01-21,27.5,0.03,65.53,Mangalore
2020-01-22,27.2,0.0,59.06,Mangalore
2020-01-23,27.38,0.0,61.69,Mangalore
2020-01-24,27.28,0.0,63.01,Mangalore
2020-01-25,26.85,0.0,58.86,Mangalore
2020-01-26,26.68,0.0,60.55,Mangalore
2020-01-27,26.91,0.0,70.36,Mangalore
2020-01-28,26.48,0.03,72.3,Mangalore
2020-01-29,26.48,0.01,70.07,Mangalore
2020-01-30,26.55,0.0,68.49,Mangalore
2020-01-31,25.95,0.0,70.89,Mangalore
2020-02-01,26.08,0.0,70.8,Mangalore
2020-02-02,26.56,0.01,69.28,Mangalore
2020-02-03,26.98,0.0,67.13,Mangalore
2020-02-04,26.87,0.0,67.08,Mangalore
2020-02-05,27.1,0.01,67.75,Mangalore
2020-02-06,27.1,0.0,67.94,Mangalore
2020-02-07,26.25,0.0,69.94,Mangalore
2020-02-08,25.14,0.0,66.47,Mangalore
2020-02-09,25.48,0.0,60.81,Mangalore
2020-02-10,27.42,0.0,61.74,Mangalore
2020-02-11,28.5,0.01,60.03,Mangalore
2020-02-12,28.1,0.0,59.08,Mangalore
2020-02-13,28.13,0.0,56.7,Mangalore
2020-02-14,28.03,0.0,58.85,Mangalore
2020-02-15,28.45,0.0,54.74,Mangalore
2020-02-16,28.02,0.0,54.22,Mangalore
2020-02-17,27.99,0.0,52.1,Mangalore
2020-02-18,27.93,0.0,51.76,Mangalore
2020-02-19,28.4,0.0,57.25,Mangalore
2020-02-20,28.75,0.0,58.17,Mangalore
2020-02-21,28.72,0.0,52.06,Mangalore
2020-02-22,28.81,0.0,47.26,Mangalore
2020-02-23,28.94,0.0,52.8,Mangalore
2020-02-24,28.79,0.0,56.27,Mangalore
2020-02-25,28.86,0.01,61.77,Mangalore
2020-02-26,29.22,0.0,60.36,Mangalore
2020-02-27,29.5,0.14,62.99,Mangalore
2020-02-28,29.68,0.24,60.84,Mangalore
2020-02-29,28.28,2.43,68.96,Mangalore
2020-03-01,28.56,3.69,68.33,Mangalore
2020-03-02,28.28,3.22,71.32,Mangalore
2020-03-03,28.43,0.37,68.58,Mangalore
2020-03-04,28.16,0.02,64.77,Mangalore
2020-03-05,27.35,0.0,67.16,Mangalore
2020-03-06,27.09,0.0,65.76,Mangalore
2020-03-07,27.51,0.0,63.81,Mangalore
2020-03-08,28.19,0.04,65.78,Mangalore
2020-03-09,28.62,0.06,67.1,Mangalore
2020-03-10,28.86,0.0,65.61,Mangalore
2020-03-11,28.38,0.0,68.16,Mangalore
2020-03-12,28.53,0.0,66.45,Mangalore
2020-03-13,28.79,0.0,64.01,Mangalore
2020-03-14,29.48,0.0,58.88,Mangalore
2020-03-15,29.65,0.0,56.92,Mangalore
2020-03-16,29.91,0.0,58.67,Mangalore
2020-03-17,30.37,0.02,57.75,Mangalore
2020-03-18,30.39,0.07,58.8,Mangalore
2020-03-19,30.23,0.12,59.6,Mangalore
2020-03-20,30.11,0.14,56.88,Mangalore
2020-03-21,29.58,0.0,51.72,Mangalore
2020-03-22,28.72,0.0,59.93,Mangalore
2020-03-23,29.76,0.05,61.11,Mangalore
2020-03-24,29.69,0.4,63.22,Mangalore
2020-03-25,29.16,0.77,66.43,Mangalore
2020-03-26,30.42,0.11,59.94,Mangalore
2020-03-27,30.12,0.09,65.01,Mangalore
2020-03-28,30.17,0.03,65.82,Mangalore
2020-03-29,30.16,0.03,64.29,Mangalore
2020-03-30,30.41,0.02,63.84,Mangalore
2020-03-31,30.65,0.02,61.3,Mangalore
2020-04-01,31.03,0.04,60.22,Mangalore
2020-04-02,30.27,0.09,65.55,Mangalore
2020-04-03,30.34,0.06,62.89,Mangalore
2020-04-04,30.45,0.08,64.5,Mangalore
2020-04-05,30.17,0.13,65.78,Mangalore
2020-04-06,29.52,0.94,68.26,Mangalore
2020-04-07,29.3,1.71,68.77,Mangalore
2020-04-08,30.09,0.78,61.93,Mangalore
2020-04-09,31.11,0.21,54.96,Mangalore
2020-04-10,30.15,1.01,60.49,Mangalore
2020-04-11,30.32,0.8,62.37,Mangalore
2020-04-12,30.45,0.81,63.71,Mangalore
2020-04-13,31.07,0.14,60.64,Mangalore
2020-04-14,31.44,0.05,57.03,Mangalore
2020-04-15,31.03,0.06,58.77,Mangalore
2020-04-16,30.09,0.98,65.58,Mangalore
2020-04-17,30.6,0.75,63.07,Mangalore
2020-04-18,30.09,1.52,67.8,Mangalore
2020-04-19,31.17,1.38,64.24,Mangalore
2020-04-20,30.5,2.6,68.79,Mangalore
2020-04-21,30.31,2.14,70.26,Mangalore
2020-04-22,29.85,1.06,70.62,Mangalore
2020-04-23,30.07,5.53,69.15,Mangalore
2020-04-24,29.2,4.18,73.15,Mangalore
2020-04-25,29.1,3.06,74.93,Mangalore
2020-04-26,29.71,1.61,73.01,Mangalore
2020-04-27,30.06,3.34,68.43,Mangalore
2020-04-28,30.23,0.19,67.43,Mangalore
2020-04-29,29.28,0.53,70.56,Mangalore
2020-04-30,29.57,0.69,69.83,Mangalore
2020-05-01,29.21,3.85,74.05,Mangalore
2020-05-02,29.72,1.82,72.99,Mangalore
2020-05-03,29.64,1.85,76.22,Mangalore
2020-05-04,30.14,4.47,74.28,Mangalore
2020-05-05,30.55,1.17,70.36,Mangalore
2020-05-06,29.57,2.28,76.07,Mangalore
2020-05-07,29.27,4.0,75.26,Mangalore
2020-05-08,28.71,7.82,79.4,Mangalore
2020-05-09,29.69,1.87,75.35,Mangalore
2020-05-10,30.05,0.46,73.0,Mangalore
2020-05-11,29.66,3.31,73.79,Mangalore
2020-05-12,29.89,5.22,75.17,Mangalore
2020-05-13,29.56,3.62,75.44,Mangalore
2020-05-14,29.91,2.27,74.19,Mangalore
2020-05-15,29.01,5.26,80.52,Mangalore
2020-05-16,28.8,3.03,82.2,Mangalore
2020-05-17,28.27,10.45,84.75,Mangalore
2020-05-18,27.62,17.13,86.65,Mangalore
2020-05-19,28.47,5.12,79.96,Mangalore
2020-05-20,28.96,4.07,75.48,Mangalore
2020-05-21,27.94,4.55,80.64,Mangalore
2020-05-22,28.65,0.54,75.11,Mangalore
2020-05-23,29.03,1.1,77.22,Mangalore
2020-05-24,28.59,2.71,79.98,Mangalore
2020-05-25,28.69,3.28,79.0,Mangalore
2020-05-26,28.72,4.4,81.24,Mangalore
2020-05-27,28.49,7.08,82.37,Mangalore
2020-05-28,28.45,1.23,75.77,Mangalore
2020-05-29,26.51,15.63,79.03,Mangalore
2020-05-30,27.76,7.98,80.76,Mangalore
2020-05-31,26.79,39.7,88.95,Mangalore
2020-06-01,26.93,30.03,87.33,Mangalore
2020-06-02,27.27,27.08,87.93,Mangalore
2020-06-03,26.94,28.85,88.58,Mangalore
2020-06-04,27.04,18.02,83.0,Mangalore
2020-06-05,27.46,3.48,80.8,Mangalore
2020-06-06,27.22,19.06,81.18,Mangalore
2020-06-07,27.41,6.44,82.2,Mangalore
2020-06-08,27.3,5.53,81.88,Mangalore
2020-06-09,27.07,8.58,83.41,Mangalore
2020-06-10,27.23,27.46,86.22,Mangalore
2020-06-11,26.24,43.41,87.94,Mangalore
2020-06-12,26.33,35.43,82.07,Mangalore
2020-06-13,26.87,11.09,81.05,Mangalore
2020-06-14,26.84,123.38,86.44,Mangalore
2020-06-15,27.23,38.43,88.57,Mangalore
2020-06-16,27.4,70.23,90.21,Mangalore
2020-06-17,26.74,63.01,92.11,Mangalore
2020-06-18,26.02,38.35,90.4,Mangalore
2020-06-19,26.62,24.4,88.93,Mangalore
2020-06-20,26.83,8.84,80.51,Mangalore
2020-06-21,26.39,20.35,89.15,Mangalore
2020-06-22,26.51,26.92,87.1,Mangalore
2020-06-23,26.25,1.64,83.92,Mangalore
2020-06-24,26.34,4.03,85.32,Mangalore
2020-06-25,26.33,7.17,84.36,Mangalore
2020-06-26,25.67,24.03,87.49,Mangalore
2020-06-27,26.3,26.59,88.03,Mangalore
2020-06-28,26.68,43.82,88.15,Mangalore
2020-06-29,26.69,44.99,90.27,Mangalore
2020-06-30,25.67,17.49,87.86,Mangalore
2020-07-01,25.98,33.14,87.5,Mangalore
2020-07-02,25.46,65.7,89.71,Mangalore
2020-07-03,26.05,127.66,89.26,Mangalore
2020-07-04,26.28,59.57,90.06,Mangalore
2020-07-05,26.12,31.65,89.71,Mangalore
2020-07-06,26.78,21.96,88.5,Mangalore
2020-07-07,25.93,49.41,89.41,Mangalore
2020-07-08,26.05,55.09,88.44,Mangalore
2020-07-09,25.59,54.05,91.51,Mangalore
2020-07-10,25.22,7.65,89.88,Mangalore
2020-07-11,25.62,38.83,87.38,Mangalore
