Location,Year,Season,Temperature,Humidity,Rainfall
Shimoga,2022,Zaid,25.98,69.25,467.85
Shimoga,2023,Kharif,24.16,82.11,592.04
Shimoga,2023,Rabi,24.06,64.51,140.1
Shimoga,2023,Zaid,27.24,58.77,208.57
Shimoga,2024,Kharif,23.77,88.08,1192.41
Shimoga,2024,Rabi,22.5,70.85,65.05
Shimoga,2024,Zaid,27.87,62.73,426.72
Shimoga,2025,Kharif,23.25,87.49,842.61
Shimoga,2025,Rabi,21.87,66.4,20.85
Shimoga,2025,Zaid,26.5,67.34,626.0
Udupi,2018,Rabi,25.4,55.97,0.05
Udupi,2019,Kharif,24.88,89.16,3180.48
Udupi,2019,Rabi,25.18,73.67,51.48
Udupi,2019,Zaid,28.2,66.83,467.1
Udupi,2020,Kharif,24.54,89.71,3612.15
Udupi,2020,Rabi,24.64,73.99,130.13
Udupi,2020,Zaid,27.61,73.51,947.01
Udupi,2021,Kharif,24.77,89.39,2309.83
Udupi,2021,Rabi,24.28,77.07,265.44
Udupi,2021,Zaid,26.97,75.58,1160.08
Udupi,2022,Kharif,24.41,88.93,2580.26
Udupi,2022,Rabi,24.8,68.64,70.05
Udupi,2022,Zaid,26.61,77.09,1113.7
Udupi,2023,Kharif,25.1,87.69,2048.75
Udupi,2023,Rabi,25.15,74.5,245.68
Udupi,2023,Zaid,27.73,67.27,544.06
Udupi,2024,Kharif,25.17,89.77,3171.28
Udupi,2024,Rabi,25.15,71.95,132.62
Udupi,2024,Zaid,27.95,72.83,1021.86
Udupi,2025,Kharif,24.7,89.61,2687.17
Udupi,2025,Rabi,23.96,71.62,50.34
Udupi,2025,Zaid,27.44,74.71,1798.44
Uttara Kannada,2018,Rabi,25.48,60.43,0.0
Uttara Kannada,2019,Kharif,26.25,88.26,3711.81
Uttara Kannada,2019,Rabi,25.58,76.88,49.01
Uttara Kannada,2019,Zaid,28.27,71.5,690.91
Uttara Kannada,2020,Kharif,25.93,88.63,3798.86
Uttara Kannada,2020,Rabi,25.54,75.31,51.78
Uttara Kannada,2020,Zaid,28.27,75.59,1042.53
Uttara Kannada,2021,Kharif,26.09,88.06,2461.53
Uttara Kannada,2021,Rabi,24.9,77.92,201.31
Uttara Kannada,2021,Zaid,28.01,76.22,1288.47
Uttara Kannada,2022,Kharif,25.77,87.83,2291.42
Uttara Kannada,2022,Rabi,25.49,71.99,28.93
Uttara Kannada,2022,Zaid,27.68,77.98,1070.81
Uttara Kannada,2023,Kharif,26.44,86.56,2274.26
Uttara Kannada,2023,Rabi,26.03,73.76,148.11
Uttara Kannada,2023,Zaid,28.32,70.58,719.72
Uttara Kannada,2024,Kharif,26.52,88.98,3472.17
Uttara Kannada,2024,Rabi,25.82,74.7,77.94
Uttara Kannada,2024,Zaid,28.6,73.88,1205.47
Uttara Kannada,2025,Kharif,25.93,88.54,2942.86
Uttara Kannada,2025,Rabi,24.78,73.37,25.75
Uttara Kannada,2025,Zaid,28.33,75.33,1786.93
